src,dest
SNN,PMI
TRF,LPL
NOS,TNR
IAH,TUS
BDJ,BDO
STN,CAG
RIX,HEL
MAN,JTR
BUF,IAD
ORK,LGW
KTM,PKR
DLC,PEK
KWJ,GMP
MQP,JNB
TGG,KUL
FCO,CMN
BNA,ORD
BDS,BVA
GEO,MIA
HVG,BVG
CGN,FUE
BKI,TWU
NNG,CSX
MXP,HEL
HMO,CUU
JOG,BTH
IST,ESB
LHR,HYD
UPG,KBU
DOK,DME
NNG,BKK
NBO,KRT
IST,AER
WUH,DSN
OSL,AMS
TRV,MCT
JIC,LHW
MPL,CMN
PEK,SYD
PEK,REP
SDQ,EWR
SIN,BPN
OSL,JFK
SGN,MNL
AYT,MAN
MIA,GUA
CPH,PSA
BHY,HGH
ROV,SHJ
MUC,SUF
GJA,LCE
WLG,DUD
AGA,CRL
ORD,MCI
MCO,AUA
SVI,ACR
OTP,VIE
IAH,SMF
SDQ,ATL
DEL,KNU
YKQ,YKU
NOS,DZA
JER,HUY
CGH,JTC
VCE,OSL
JED,HTY
TRN,BRI
AKU,URC
DFW,SJO
MLE,MCT
YYZ,LAS
PVG,FUK
HYN,ZUH
BCN,ATH
TTN,DTW
NKG,YNT
PKC,SVO
YAB,YRB
TIR,HYD
BLI,SEA
AZA,LAS
SEZ,FRA
LAX,YEG
SIN,BKK
FRA,HRG
MEX,MZT
DME,GYD
YBL,YVR
NBO,BJM
BGY,KGS
IAD,FLL
DAC,DEL
SFB,GSO
ARN,TRD
NCE,BRS
LHE,KWI
RAK,BCN
SVO,TFS
SJW,NGB
FRA,AMM
PTY,MCO
ULN,FRU
URC,OVB
KCK,IKT
NAP,ZRH
MLA,LIN
BOY,ABJ
KMG,DLU
CLT,ILM
ICN,SIN
PMZ,SJO
IST,ISU
MXP,JED
RAK,GRO
FCO,RTM
VNO,OSL
SSA,IOS
KGQ,UPK
SZX,PVG
CCU,IXS
TPA,CLT
TNA,CGO
NLD,MEX
NJF,BEY
DMK,PHS
CGN,HRG
KOJ,NRT
MEL,CTU
BAV,CAN
STN,PRG
CSX,TNA
YMN,YHO
MPL,RTM
BVA,BTS
TLS,MRS
GIG,SSA
IAD,MUC
LJU,VIE
BPS,VCP
ADL,BNE
YCD,YVR
PMI,ORY
JNB,TNR
ICN,LJG
CDG,SVX
KGS,JKL
RMF,VIE
LWB,ATL
BHX,VCE
PIK,FUE
KWI,BEY
KGD,EGO
DTM,TSR
HIJ,NRT
PVD,LAS
WXN,XMN
EZE,BCN
GRZ,MUC
EMA,BGY
DKR,JNB
MSP,DEN
DUS,NCL
GIG,MAO
DUT,IKO
CHQ,CIA
KWI,IFN
HGH,BHY
MOU,PQS
ASM,SAH
CAI,BEY
ABZ,BHX
ZAZ,STN
TLL,VNO
PSR,GRO
NYT,KMG
PHL,MDW
PEK,XIL
LCY,MAH
JAU,LIM
ELQ,IST
NRT,YVR
SID,STR
STN,KIV
PDX,OGG
YAG,YQT
KIN,SDQ
XMN,KOW
OLB,ARN
BGY,ACE
SJO,GLF
JFK,DXB
THR,GSM
OTP,VRN
PVC,BOS
MSP,DTW
DAD,DLI
ZIH,LAX
EIN,BCN
DPS,BDO
TNA,TYN
HKG,PVG
SZG,AYT
EWR,YYC
CKY,CMN
GSM,SYZ
ATL,FLL
FLL,OSL
RDU,MCO
MDW,ICT
FCO,KIX
IBZ,DUS
AGP,ORY
MXP,MAD
WBB,UNK
KWL,XIY
OKA,UKB
CKG,XMN
BSB,CNF
CTS,HND
AYT,ESB
EIN,GRO
SRQ,JFK
IST,CAI
NAN,MEL
BLQ,BRS
MAD,FCO
SLC,MSP
CNY,SLC
NGO,DTW
SLY,TJM
CPH,DUS
ORD,IAH
UAS,WIL
BSL,EDI
BHX,MJV
SJD,TIJ
OIT,HND
COR,PTY
BVC,BHX
ADD,MBA
MIG,CAN
LWY,BKM
ICN,AMS
DME,SYX
SVO,LAX
RVK,OSY
